Location,Station,Date,Time,Temperature (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precipitation (in),Condition,Data Collection Source
"New York City, NY",Laguardia Airport Station,7/1/21,12:51 AM,78 °F,69 °F,74 %,SSW,7 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,1:51 AM,79 °F,69 °F,72 %,CALM,0 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,2:51 AM,79 °F,69 °F,72 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,3:51 AM,78 °F,69 °F,74 %,WSW,5 mph,0 mph,29.85 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,4:51 AM,76 °F,69 °F,79 %,CALM,0 mph,0 mph,29.85 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,5:51 AM,76 °F,68 °F,76 %,NW,6 mph,0 mph,29.85 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,6:51 AM,77 °F,68 °F,74 %,NW,8 mph,0 mph,29.85 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,7:51 AM,78 °F,67 °F,68 %,NW,5 mph,0 mph,29.85 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,8:51 AM,80 °F,65 °F,60 %,WNW,5 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,9:51 AM,83 °F,66 °F,56 %,CALM,0 mph,0 mph,29.85 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,10:51 AM,85 °F,63 °F,48 %,W,7 mph,0 mph,29.85 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,11:51 AM,86 °F,63 °F,46 %,WSW,8 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,12:51 PM,81 °F,66 °F,60 %,NW,21 mph,30 mph,29.84 in,0.0 in,Light Rain / Windy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,1:51 PM,75 °F,68 °F,79 %,NNW,6 mph,0 mph,29.84 in,0.1 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,2:51 PM,78 °F,68 °F,71 %,ENE,5 mph,0 mph,29.82 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,3:51 PM,82 °F,68 °F,62 %,E,8 mph,0 mph,29.79 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,4:51 PM,81 °F,67 °F,62 %,ESE,9 mph,0 mph,29.78 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,5:51 PM,74 °F,67 °F,79 %,NE,7 mph,0 mph,29.77 in,0.1 in,Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,6:38 PM,74 °F,69 °F,85 %,CALM,0 mph,0 mph,29.78 in,0.1 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,6:51 PM,75 °F,70 °F,84 %,S,9 mph,0 mph,29.78 in,0.2 in,Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,7:39 PM,74 °F,69 °F,85 %,SSE,8 mph,0 mph,29.76 in,0.1 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,7:51 PM,74 °F,70 °F,87 %,SSE,6 mph,0 mph,29.77 in,0.1 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,8:17 PM,74 °F,70 °F,87 %,SW,3 mph,0 mph,29.76 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,8:33 PM,73 °F,70 °F,90 %,SE,3 mph,0 mph,29.74 in,0.2 in,Heavy Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,8:51 PM,74 °F,70 °F,87 %,CALM,0 mph,0 mph,29.74 in,0.2 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,9:51 PM,74 °F,70 °F,87 %,ENE,5 mph,0 mph,29.74 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,10:51 PM,74 °F,69 °F,85 %,SSW,9 mph,0 mph,29.74 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,11:10 PM,73 °F,69 °F,87 %,S,8 mph,0 mph,29.74 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,11:46 PM,73 °F,70 °F,88 %,SSW,8 mph,0 mph,29.73 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/1/21,11:51 PM,74 °F,69 °F,85 %,SSW,9 mph,0 mph,29.73 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,12:51 AM,74 °F,69 °F,85 %,SSW,9 mph,0 mph,29.74 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,1:44 AM,74 °F,70 °F,87 %,SW,5 mph,0 mph,29.73 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,1:51 AM,74 °F,69 °F,85 %,SW,6 mph,0 mph,29.73 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,2:33 AM,73 °F,68 °F,84 %,NNW,7 mph,0 mph,29.70 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,2:51 AM,73 °F,68 °F,84 %,S,5 mph,0 mph,29.71 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,3:51 AM,73 °F,68 °F,84 %,SW,6 mph,0 mph,29.71 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,4:51 AM,73 °F,67 °F,81 %,SW,6 mph,0 mph,29.72 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,5:51 AM,73 °F,67 °F,81 %,SW,5 mph,0 mph,29.73 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,6:51 AM,73 °F,64 °F,73 %,SSW,8 mph,0 mph,29.71 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,7:51 AM,73 °F,64 °F,73 %,S,6 mph,0 mph,29.71 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,8:51 AM,74 °F,66 °F,76 %,SW,9 mph,0 mph,29.72 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,9:51 AM,75 °F,65 °F,71 %,SSW,5 mph,0 mph,29.71 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,10:51 AM,75 °F,64 °F,69 %,CALM,0 mph,0 mph,29.70 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,11:51 AM,76 °F,64 °F,67 %,CALM,0 mph,0 mph,29.71 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,12:51 PM,78 °F,67 °F,68 %,SSE,8 mph,0 mph,29.70 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,1:29 PM,77 °F,67 °F,71 %,S,7 mph,0 mph,29.69 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,1:51 PM,77 °F,66 °F,69 %,NNW,3 mph,0 mph,29.69 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,2:41 PM,75 °F,67 °F,76 %,NNE,9 mph,0 mph,29.68 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,2:51 PM,76 °F,67 °F,74 %,NE,8 mph,0 mph,29.68 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,3:14 PM,76 °F,67 °F,74 %,NE,12 mph,0 mph,29.69 in,0.0 in,Thunder in the Vicinity,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,3:27 PM,74 °F,63 °F,68 %,E,13 mph,21 mph,29.69 in,0.0 in,Thunder in the Vicinity,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,3:30 PM,74 °F,63 °F,68 %,E,10 mph,21 mph,29.68 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,3:40 PM,75 °F,64 °F,69 %,ESE,12 mph,0 mph,29.69 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,3:44 PM,74 °F,64 °F,71 %,ESE,17 mph,23 mph,29.69 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,3:51 PM,70 °F,62 °F,76 %,E,21 mph,25 mph,29.69 in,0.0 in,Light Rain / Windy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,4:16 PM,73 °F,64 °F,73 %,ESE,15 mph,0 mph,29.68 in,0.0 in,Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,4:31 PM,74 °F,66 °F,76 %,SSE,8 mph,0 mph,29.68 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,4:51 PM,74 °F,67 °F,79 %,VAR,6 mph,0 mph,29.68 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,4:56 PM,74 °F,67 °F,79 %,ESE,7 mph,0 mph,29.67 in,0.0 in,Thunder in the Vicinity,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,5:27 PM,75 °F,68 °F,79 %,E,10 mph,0 mph,29.68 in,0.1 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,5:51 PM,75 °F,68 °F,79 %,E,10 mph,0 mph,29.67 in,0.1 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,6:15 PM,74 °F,68 °F,82 %,NE,6 mph,0 mph,29.67 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/2/21,6:19 PM,73 °F,68 °F,84 %,NE,9 mph,0 mph,29.67 in,0.0 in,T-Storm,Weather Underground
