Location,Station,Date,Time,Temperature_F,DewPoint_F,Humidity_Percentage,Wind,WindSpeed_mph,WindGust_mph,Pressure_in,Precipitation_in,Condition,Data Collection Source
"San Francisco, CA",San Francisco International Airport Station,7/1/21,12:56 AM,62 °F,55 °F,78 %,W,12 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,1:56 AM,62 °F,55 °F,78 %,W,10 mph,0 mph,29.88 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,2:56 AM,62 °F,55 °F,78 %,SW,6 mph,0 mph,29.89 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,3:56 AM,62 °F,55 °F,78 %,WSW,7 mph,0 mph,29.89 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,4:56 AM,63 °F,55 °F,75 %,WSW,10 mph,0 mph,29.90 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,5:56 AM,63 °F,55 °F,75 %,SW,10 mph,0 mph,29.90 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,6:56 AM,63 °F,55 °F,75 %,WSW,10 mph,0 mph,29.91 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,7:56 AM,64 °F,55 °F,72 %,SW,9 mph,0 mph,29.92 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,8:56 AM,65 °F,55 °F,70 %,SW,6 mph,0 mph,29.93 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,9:56 AM,67 °F,55 °F,66 %,WSW,8 mph,0 mph,29.93 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,10:56 AM,70 °F,55 °F,59 %,SW,7 mph,16 mph,29.93 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,11:21 AM,71 °F,55 °F,57 %,WSW,9 mph,0 mph,29.93 in,0.0 in,Partly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,11:56 AM,72 °F,55 °F,55 %,SSW,10 mph,18 mph,29.93 in,0.0 in,Partly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,12:56 PM,73 °F,55 °F,53 %,WSW,16 mph,0 mph,29.92 in,0.0 in,Fair,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,1:56 PM,74 °F,56 °F,53 %,W,18 mph,0 mph,29.91 in,0.0 in,Fair,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,2:56 PM,75 °F,56 °F,51 %,WSW,16 mph,0 mph,29.89 in,0.0 in,Fair,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,3:56 PM,75 °F,55 °F,50 %,WSW,16 mph,0 mph,29.88 in,0.0 in,Fair,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,4:56 PM,73 °F,55 °F,53 %,W,14 mph,0 mph,29.87 in,0.0 in,Fair,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,5:56 PM,69 °F,54 °F,58 %,W,18 mph,0 mph,29.87 in,0.0 in,Fair,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,6:56 PM,66 °F,54 °F,65 %,WNW,18 mph,0 mph,29.87 in,0.0 in,Fair,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,7:56 PM,64 °F,54 °F,70 %,WNW,16 mph,0 mph,29.88 in,0.0 in,Fair,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,8:56 PM,61 °F,53 °F,75 %,W,22 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy / Windy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,9:56 PM,62 °F,54 °F,75 %,W,18 mph,0 mph,29.91 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,10:56 PM,62 °F,55 °F,78 %,W,14 mph,0 mph,29.91 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/1/21,11:56 PM,62 °F,54 °F,75 %,W,14 mph,0 mph,29.90 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,12:56 AM,62 °F,54 °F,75 %,W,10 mph,0 mph,29.90 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,1:56 AM,62 °F,54 °F,75 %,W,9 mph,0 mph,29.90 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,2:56 AM,62 °F,54 °F,75 %,WSW,7 mph,0 mph,29.90 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,3:56 AM,62 °F,54 °F,75 %,WSW,10 mph,0 mph,29.89 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,4:56 AM,62 °F,53 °F,72 %,WSW,8 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,5:56 AM,62 °F,53 °F,72 %,WSW,9 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,6:56 AM,62 °F,53 °F,72 %,W,6 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,7:56 AM,64 °F,54 °F,70 %,WSW,6 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,8:56 AM,67 °F,55 °F,66 %,NW,7 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,9:49 AM,68 °F,55 °F,63 %,NNW,8 mph,0 mph,29.92 in,0.0 in,Fair,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,9:56 AM,68 °F,55 °F,63 %,VAR,6 mph,0 mph,29.92 in,0.0 in,Fair,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,10:56 AM,71 °F,56 °F,59 %,NNW,8 mph,0 mph,29.92 in,0.0 in,Fair,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,11:56 AM,72 °F,56 °F,57 %,NNW,10 mph,0 mph,29.91 in,0.0 in,Fair,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,12:56 PM,75 °F,57 °F,53 %,N,13 mph,0 mph,29.91 in,0.0 in,Fair,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,1:56 PM,75 °F,55 °F,50 %,W,20 mph,0 mph,29.90 in,0.0 in,Fair,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,2:56 PM,70 °F,54 °F,57 %,WNW,24 mph,0 mph,29.90 in,0.0 in,Fair / Windy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,3:56 PM,70 °F,54 °F,57 %,WNW,25 mph,0 mph,29.89 in,0.0 in,Fair / Windy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,4:56 PM,69 °F,55 °F,61 %,W,22 mph,0 mph,29.88 in,0.0 in,Fair / Windy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,5:56 PM,67 °F,55 °F,66 %,W,17 mph,0 mph,29.87 in,0.0 in,Partly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,6:38 PM,66 °F,54 °F,65 %,W,21 mph,0 mph,29.88 in,0.0 in,Mostly Cloudy / Windy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,6:56 PM,65 °F,54 °F,68 %,W,17 mph,0 mph,29.88 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,7:56 PM,63 °F,54 °F,72 %,W,14 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,8:56 PM,62 °F,54 °F,75 %,WNW,13 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,9:56 PM,63 °F,54 °F,72 %,W,14 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,10:56 PM,62 °F,54 °F,75 %,W,10 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/2/21,11:56 PM,62 °F,54 °F,75 %,W,9 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,12:14 AM,62 °F,54 °F,75 %,W,10 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,12:56 AM,62 °F,53 °F,72 %,WSW,10 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,1:56 AM,61 °F,54 °F,78 %,WSW,9 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,2:56 AM,61 °F,53 °F,75 %,WSW,9 mph,0 mph,29.92 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,3:56 AM,61 °F,53 °F,75 %,WSW,9 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,4:56 AM,61 °F,53 °F,75 %,W,9 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,5:56 AM,61 °F,53 °F,75 %,W,12 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,6:56 AM,61 °F,53 °F,75 %,WNW,9 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,7:56 AM,62 °F,53 °F,72 %,W,12 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,8:56 AM,64 °F,54 °F,70 %,WSW,6 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,9:56 AM,67 °F,54 °F,63 %,NE,5 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,10:26 AM,68 °F,54 °F,61 %,NNW,10 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,10:56 AM,69 °F,54 °F,58 %,NNW,10 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,11:56 AM,70 °F,55 °F,59 %,NNW,14 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,Weather Underground
