Location,Station,Date,Time,Temperature_F,DewPoint_F,Humidity_Percentage,Wind,WindSpeed_mph,WindGust_mph,Pressure_in,Precipitation_in,Condition,Data Collection Source
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,12:53 AM,72 °F,66 °F,81 %,SSW,5 mph,0 mph,29.31 in,0.0 in,Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,1:16 AM,72 °F,67 °F,84 %,NNE,9 mph,0 mph,29.32 in,0.0 in,Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,1:53 AM,70 °F,65 °F,84 %,NW,5 mph,0 mph,29.32 in,0.1 in,Rain,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,2:53 AM,70 °F,66 °F,87 %,CALM,0 mph,0 mph,29.29 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,3:53 AM,69 °F,65 °F,87 %,N,5 mph,0 mph,29.28 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,4:53 AM,68 °F,64 °F,87 %,N,15 mph,0 mph,29.30 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,5:53 AM,68 °F,63 °F,84 %,NNE,14 mph,23 mph,29.32 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,6:53 AM,69 °F,63 °F,81 %,N,10 mph,0 mph,29.33 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,7:53 AM,71 °F,63 °F,75 %,NNE,9 mph,0 mph,29.34 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,8:53 AM,72 °F,60 °F,66 %,N,12 mph,0 mph,29.35 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,9:53 AM,74 °F,60 °F,62 %,NNE,13 mph,0 mph,29.36 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,10:53 AM,75 °F,61 °F,62 %,N,16 mph,0 mph,29.37 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,11:53 AM,76 °F,56 °F,50 %,NNE,16 mph,0 mph,29.37 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,12:53 PM,77 °F,55 °F,46 %,NNE,18 mph,23 mph,29.36 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,1:53 PM,77 °F,55 °F,46 %,NE,20 mph,25 mph,29.37 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,2:53 PM,77 °F,55 °F,46 %,NE,20 mph,28 mph,29.36 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,3:53 PM,76 °F,50 °F,40 %,NNE,20 mph,0 mph,29.36 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,4:53 PM,74 °F,51 °F,45 %,NNE,17 mph,26 mph,29.37 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,5:53 PM,72 °F,51 °F,48 %,NE,17 mph,0 mph,29.37 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,6:53 PM,69 °F,53 °F,57 %,NNE,18 mph,0 mph,29.38 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,7:53 PM,67 °F,52 °F,59 %,NNE,14 mph,24 mph,29.39 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,8:53 PM,65 °F,50 °F,58 %,NNE,14 mph,26 mph,29.38 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,9:53 PM,64 °F,50 °F,60 %,N,10 mph,0 mph,29.39 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,10:53 PM,63 °F,51 °F,65 %,N,12 mph,0 mph,29.39 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/1/21,11:53 PM,63 °F,51 °F,65 %,N,12 mph,0 mph,29.39 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,12:53 AM,62 °F,52 °F,70 %,N,9 mph,0 mph,29.39 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,1:53 AM,62 °F,53 °F,72 %,NNE,10 mph,0 mph,29.39 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,2:53 AM,62 °F,54 °F,75 %,N,12 mph,0 mph,29.38 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,3:53 AM,62 °F,54 °F,75 %,N,8 mph,0 mph,29.39 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,4:53 AM,62 °F,54 °F,75 %,N,7 mph,0 mph,29.40 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,5:53 AM,62 °F,55 °F,78 %,N,7 mph,0 mph,29.41 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,6:53 AM,64 °F,55 °F,72 %,N,8 mph,0 mph,29.42 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,7:53 AM,67 °F,56 °F,68 %,NNE,8 mph,0 mph,29.44 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,8:53 AM,68 °F,56 °F,65 %,N,6 mph,0 mph,29.45 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,9:53 AM,68 °F,55 °F,63 %,NE,9 mph,0 mph,29.45 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,10:53 AM,70 °F,55 °F,59 %,NNE,9 mph,0 mph,29.45 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,11:53 AM,71 °F,53 °F,53 %,NW,6 mph,0 mph,29.45 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,12:53 PM,73 °F,51 °F,46 %,NE,9 mph,0 mph,29.44 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,1:53 PM,73 °F,51 °F,46 %,NE,6 mph,17 mph,29.42 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,2:53 PM,73 °F,48 °F,41 %,N,6 mph,0 mph,29.42 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,3:53 PM,72 °F,49 °F,44 %,ENE,8 mph,0 mph,29.42 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,4:53 PM,72 °F,48 °F,43 %,NNE,9 mph,20 mph,29.39 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,5:53 PM,72 °F,49 °F,44 %,ENE,10 mph,0 mph,29.39 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,6:53 PM,71 °F,46 °F,41 %,ENE,9 mph,0 mph,29.39 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,7:53 PM,69 °F,47 °F,45 %,N,8 mph,0 mph,29.39 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,8:53 PM,67 °F,46 °F,47 %,NE,8 mph,0 mph,29.37 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,9:53 PM,66 °F,48 °F,52 %,NE,6 mph,0 mph,29.38 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,10:53 PM,66 °F,51 °F,59 %,SE,3 mph,0 mph,29.38 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/2/21,11:53 PM,64 °F,52 °F,65 %,CALM,0 mph,0 mph,29.38 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,12:53 AM,61 °F,50 °F,67 %,WNW,3 mph,0 mph,29.39 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,1:53 AM,62 °F,51 °F,67 %,W,3 mph,0 mph,29.39 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,2:53 AM,59 °F,50 °F,72 %,W,5 mph,0 mph,29.38 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,3:53 AM,59 °F,50 °F,72 %,W,5 mph,0 mph,29.38 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,4:53 AM,60 °F,50 °F,69 %,W,3 mph,0 mph,29.38 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,5:53 AM,60 °F,49 °F,67 %,W,6 mph,0 mph,29.39 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,6:53 AM,64 °F,51 °F,63 %,W,5 mph,0 mph,29.40 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,7:53 AM,67 °F,51 °F,57 %,W,9 mph,0 mph,29.39 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,8:53 AM,72 °F,53 °F,51 %,W,9 mph,0 mph,29.38 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,9:53 AM,75 °F,54 °F,48 %,WNW,9 mph,0 mph,29.37 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,10:53 AM,78 °F,55 °F,45 %,NW,9 mph,0 mph,29.35 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,11:53 AM,81 °F,56 °F,42 %,NW,10 mph,20 mph,29.33 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,12:53 PM,83 °F,58 °F,42 %,W,15 mph,21 mph,29.32 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,1:53 PM,84 °F,59 °F,43 %,WNW,9 mph,0 mph,29.29 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,2:53 PM,85 °F,60 °F,43 %,W,12 mph,23 mph,29.29 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,3:53 PM,86 °F,60 °F,41 %,WNW,10 mph,21 mph,29.28 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,4:53 PM,86 °F,60 °F,41 %,WNW,7 mph,21 mph,29.27 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,5:53 PM,86 °F,61 °F,43 %,WNW,15 mph,23 mph,29.27 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,6:53 PM,84 °F,61 °F,46 %,W,14 mph,0 mph,29.27 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,7:53 PM,83 °F,61 °F,47 %,W,10 mph,0 mph,29.27 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,8:53 PM,81 °F,62 °F,52 %,W,8 mph,0 mph,29.27 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,9:53 PM,79 °F,62 °F,56 %,WNW,7 mph,0 mph,29.27 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,10:53 PM,78 °F,62 °F,58 %,W,8 mph,0 mph,29.27 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/3/21,11:53 PM,76 °F,62 °F,62 %,W,8 mph,0 mph,29.27 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,12:53 AM,76 °F,62 °F,62 %,WNW,8 mph,0 mph,29.27 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,1:53 AM,74 °F,62 °F,66 %,W,5 mph,0 mph,29.27 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,2:53 AM,73 °F,61 °F,66 %,WNW,6 mph,0 mph,29.28 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,3:53 AM,72 °F,61 °F,68 %,W,7 mph,0 mph,29.28 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,4:53 AM,70 °F,61 °F,73 %,W,5 mph,0 mph,29.28 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,5:53 AM,70 °F,61 °F,73 %,W,5 mph,0 mph,29.29 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,6:53 AM,71 °F,62 °F,73 %,WSW,5 mph,0 mph,29.29 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,7:53 AM,75 °F,62 °F,64 %,W,7 mph,0 mph,29.30 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,8:53 AM,78 °F,63 °F,60 %,NW,9 mph,0 mph,29.31 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,9:53 AM,82 °F,65 °F,56 %,WNW,9 mph,0 mph,29.30 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,10:53 AM,83 °F,63 °F,51 %,VAR,3 mph,0 mph,29.30 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,11:53 AM,87 °F,63 °F,44 %,WNW,8 mph,0 mph,29.29 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,12:53 PM,88 °F,62 °F,42 %,WNW,8 mph,0 mph,29.29 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,1:53 PM,89 °F,62 °F,40 %,NW,10 mph,0 mph,29.27 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,2:53 PM,89 °F,64 °F,43 %,WSW,10 mph,16 mph,29.27 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,3:53 PM,89 °F,62 °F,40 %,WSW,12 mph,0 mph,29.27 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,4:53 PM,89 °F,65 °F,45 %,WSW,12 mph,18 mph,29.27 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,5:53 PM,88 °F,66 °F,48 %,WSW,13 mph,0 mph,29.27 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,6:53 PM,86 °F,64 °F,48 %,SW,15 mph,0 mph,29.27 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,7:53 PM,84 °F,66 °F,55 %,WSW,10 mph,0 mph,29.27 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,8:53 PM,82 °F,66 °F,58 %,SW,8 mph,0 mph,29.27 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,9:53 PM,81 °F,66 °F,60 %,WSW,8 mph,0 mph,29.28 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,10:53 PM,79 °F,66 °F,64 %,WSW,7 mph,0 mph,29.28 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/4/21,11:53 PM,78 °F,67 °F,68 %,WSW,9 mph,0 mph,29.29 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,12:53 AM,77 °F,66 °F,69 %,WSW,6 mph,0 mph,29.29 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,1:53 AM,77 °F,66 °F,69 %,WSW,9 mph,0 mph,29.29 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,2:53 AM,76 °F,65 °F,69 %,WSW,12 mph,0 mph,29.29 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,3:53 AM,75 °F,65 °F,71 %,WSW,9 mph,0 mph,29.28 in,0.0 in,Fair,Weather Underground
